,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
33012,0,1506159.0,Spain,2013/2014,n,,71,42,38578.0,,58294.0,0,8558.0,3425447,33,goal,n,,,
33013,1,1506159.0,Spain,2013/2014,n,,71,69,38581.0,,199839.0,0,9865.0,3425661,26,goal,n,,,
33014,2,1506159.0,Spain,2013/2014,n,,71,72,,,280276.0,2,9865.0,3425679,37,goal,n,,,
33015,0,1778225.0,Spain,2014/2015,n,,406,37,38578.0,header,58294.0,3,8558.0,4099414,240,goal,n,,,
33016,1,1778225.0,Spain,2014/2015,n,,393,40,38578.0,shot,58294.0,3,8558.0,4099431,264,goal,n,,,
33017,2,1778225.0,Spain,2014/2015,n,,393,74,107930.0,shot,41622.0,4,8558.0,4099607,495,goal,n,,,
33018,0,530091.0,Spain,2008/2009,n,,71,7,,,18501.0,0,9865.0,392942,20,goal,n,,,
33019,1,530091.0,Spain,2008/2009,n,,71,33,,,75310.0,0,9865.0,393028,22,goal,n,,,
33020,2,530091.0,Spain,2008/2009,n,,71,51,,,74455.0,0,9865.0,393100,23,goal,n,,,
33021,3,530091.0,Spain,2008/2009,n,,71,57,,,96620.0,0,8315.0,393128,24,goal,n,,,
33022,0,685105.0,Spain,2009/2010,n,,71,13,,,37410.0,0,8315.0,1039892,19,goal,n,,,
33023,1,685105.0,Spain,2009/2010,n,,71,32,,,37408.0,0,8315.0,1040130,20,goal,n,,,
33024,2,685105.0,Spain,2009/2010,n,,71,49,,,37410.0,0,8315.0,1040467,22,goal,n,,,
33025,3,685105.0,Spain,2009/2010,n,,71,51,,,33030.0,0,8315.0,1040478,21,goal,n,,,
33026,4,685105.0,Spain,2009/2010,npm,,195,37,,,33030.0,0,8315.0,1040557,8,goal,npm,,,
33027,5,685105.0,Spain,2009/2010,n,,71,71,,,46384.0,0,9865.0,1040661,23,goal,n,,,
33028,0,875679.0,Spain,2010/2011,npm,,247,6,,,,0,8315.0,1275039,14,goal,npm,,,
33029,1,875679.0,Spain,2010/2011,n,,393,10,112204.0,shot,33030.0,1,8315.0,1275075,152,goal,n,,,
33030,0,1505997.0,Spain,2013/2014,n,,71,7,,,43375.0,0,8315.0,3207613,22,goal,n,,,
33031,1,1505997.0,Spain,2013/2014,n,,71,10,,,164676.0,0,8315.0,3207644,23,goal,n,,,
33032,2,1505997.0,Spain,2013/2014,n,,71,30,,,411617.0,0,8315.0,3207861,24,goal,n,,,
33033,3,1505997.0,Spain,2013/2014,n,,71,34,,,38241.0,1,9865.0,3207912,27,goal,n,,,
33034,4,1505997.0,Spain,2013/2014,n,,71,52,,,33028.0,0,8315.0,3208133,28,goal,n,,,
