"player_name";"player_api_id";"player_nation";"season";"team_long_name";"team_api_id";"season_player_age";"market_val_amnt";"player_pos";"team_country"
"Matija Nastasic";"213485";"Serbia";"2011";"Fiorentina";"8535";"18";"5000000";"CB";"Italy"
"Matija Nastasic";"213485";"Serbia";"2012";"Manchester City";"8456";"19";"5000000";"CB";"England"
"Matija Nastasic";"213485";"Serbia";"2015";"FC Schalke 04";"10189";"22";"5000000";"CB";"Germany"
"Matos";"282060";"Brazil";"2014";"Córdoba CF";"7869";"21";"1000000";"SS";"Spain"
"Matos";"282060";"Brazil";"2015";"Carpi";"208931";"22";"1000000";"SS";"Italy"
"Mats Hummels";"36388";"Germany";"2009";"Borussia Dortmund";"9789";"21";"12000000";"CB";"Germany"
"Matt Derbyshire";"23170";"England";"2010";"Birmingham City";"8658";"24";"400000";"CF";"England"
"Matt Grimes";"478357";"England";"2015";"Swansea City";"10003";"20";"7000000";"CM";"England"
"Matt Ritchie";"155913";"Scotland";"2009";"Portsmouth";"8462";"20";"3000000";"LB";"England"
"Matteo Bianchetti";"279820";"Italy";"2013";"Hellas Verona";"9876";"20";"700000";"CB";"Italy"
"Matteo Darmian";"46820";"Italy";"2012";"Torino";"9804";"23";"7000000";"RB";"Italy"
"Matteo Darmian";"46820";"Italy";"2015";"Manchester United";"10260";"26";"7000000";"RB";"England"
"Matteo Fedele";"448321";"Switzerland";"2015";"Carpi";"208931";"23";"300000";"CM";"Italy"
"Matteo Rubin";"73845";"Italy";"2010";"Bologna";"9857";"23";"150000";"LB";"Italy"
"Matteo Rubin";"73845";"Italy";"2011";"Parma";"10167";"24";"150000";"LB";"Italy"
"Matteo Rubin";"73845";"Italy";"2012";"Siena";"8551";"25";"150000";"LB";"Italy"
"Matthew Briggs";"78511";"Guyana";"2011";"Fulham";"9879";"20";"100000";"CB";"England"
"Matthew Connolly";"23732";"England";"2011";"Queens Park Rangers";"10172";"24";"300000";"CB";"England"
"Matthew Lowton";"183715";"England";"2012";"Aston Villa";"10252";"23";"2500000";"RB";"England"
"Matthias Ginter";"303912";"Germany";"2014";"Borussia Dortmund";"9789";"20";"27000000";"CB";"Germany"
"Matthias Ostrzolek";"240348";"Germany";"2014";"Hamburger SV";"9790";"24";"300000";"LB";"Germany"
"Mattia Destro";"154249";"Italy";"2010";"Genoa";"10233";"19";"2500000";"CF";"Italy"
"Mattia Destro";"154249";"Italy";"2011";"Siena";"8551";"20";"2500000";"CF";"Italy"
"Mattia Destro";"154249";"Italy";"2012";"Roma";"8686";"21";"2500000";"CF";"Italy"
"Mattia Destro";"154249";"Italy";"2013";"Roma";"8686";"22";"2500000";"CF";"Italy"
"Mattia Destro";"154249";"Italy";"2015";"Bologna";"9857";"24";"2500000";"CF";"Italy"
"Mattia Perin";"181910";"Italy";"2012";"Pescara";"9878";"20";"5000000";"GK";"Italy"
"Mauricio Isla";"109298";"Chile";"2012";"Juventus";"9885";"24";"950000";"RB";"Italy"
"Mauricio Isla";"109298";"Chile";"2014";"Queens Park Rangers";"10172";"26";"950000";"RB";"England"
"Maurides";"320614";"Brazil";"2015";"FC Arouca";"158085";"21";"250000";"CF";"Portugal"
"Mauro Boselli";"18859";"Argentina";"2010";"Wigan Athletic";"8528";"25";"300000";"CF";"England"
"Mauro Boselli";"18859";"Argentina";"2012";"Wigan Athletic";"8528";"27";"300000";"CF";"England"
"Mauro Goicoechea";"206711";"Uruguay";"2012";"Roma";"8686";"24";"250000";"GK";"Italy"
"Mauro Goicoechea";"206711";"Uruguay";"2014";"FC Arouca";"158085";"26";"250000";"GK";"Portugal"
"Mauro Vigorito";"111741";"Italy";"2009";"Cagliari";"8529";"19";"350000";"GK";"Italy"
"Mawouna Amevor";"193178";"Togo";"2013";"Go Ahead Eagles";"6433";"22";"350000";"CB";"Netherlands"
"Max Kruse";"58346";"Germany";"2012";"SC Freiburg";"8358";"24";"5000000";"SS";"Germany"
"Max Kruse";"58346";"Germany";"2013";"Borussia Mönchengladbach";"9788";"25";"5000000";"SS";"Germany"
"Max Kruse";"58346";"Germany";"2015";"VfL Wolfsburg";"8721";"27";"5000000";"SS";"Germany"
"Maxi Moralez";"29587";"Argentina";"2011";"Atalanta";"8524";"24";"500000";"AM";"Italy"
"Maxime Gonalons";"182923";"France";"2009";"Olympique Lyonnais";"9748";"20";"2500000";"DM";"France"
"Maxime Le Marchand";"173952";"France";"2015";"OGC Nice";"9831";"26";"1500000";"CB";"France"
"Maxime Lestienne";"166575";"Belgium";"2014";"Genoa";"10233";"22";"1500000";"LW";"Italy"
"Maxime Lestienne";"166575";"Belgium";"2015";"PSV";"8640";"23";"1500000";"LW";"Netherlands"
